國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
96年 11月,2775515,13005,4019,579,9854,42246,36495,126768,3231,4789,8930,89098,5193,16252,32990,318205,1670492,159192,105788,128389
96年 12月,2845110,15029,3837,700,11989,10454,60703,137004,3156,5934,8854,101198,6361,16309,22774,404862,1603040,208856,91535,132516
97年,30883569,165815,48921,8787,143985,408740,691919,1795795,43895,53493,117880,1144580,100892,189501,292184,4691818,16068467,2376090,997045,1543759
97年 1月,2656184,12484,3419,1239,11802,36636,52512,138439,2991,5240,9206,105140,5546,16034,17868,408790,1407367,208121,82290,131060
97年 2月,2051882,8361,2887,665,7973,46307,54216,109592,2933,4308,6546,76749,4243,11800,21153,276509,1095258,158611,69211,94557
97年 3月,2634135,10955,3609,864,15844,5113,53315,155836,3464,4691,10405,94072,6563,17102,35751,391694,1408454,190336,100971,125097
97年 4月,2703202,13890,4083,780,14953,3735,68291,160921,3542,5528,11725,101338,12083,17602,18430,416693,1412087,216571,85999,134950
97年 5月,2570614,16715,3955,436,13215,84732,45873,145708,3559,4649,12177,91403,7359,15443,35303,392898,1305061,184855,81990,125284
97年 6月,2638331,20131,3969,590,16053,35634,57427,163793,4001,5259,10939,98918,7991,18035,46647,407341,1338360,184301,87483,131458
97年 7月,2762264,15889,5336,700,11779,3342,75476,172988,4171,4841,10499,119903,10895,18723,49505,445861,1367093,225894,79421,139949
97年 8月,2963219,15156,3883,495,10046,37706,65375,164459,4007,5371,8907,109088,11407,17338,28683,447593,1585816,216731,93347,137810
97年 9月,2760128,14897,4686,455,9893,48630,70206,173443,4196,3739,9383,108730,10748,16169,12818,416562,1424086,205783,79632,146075
